asin,brand,product_title,price,image
B00HWEMZ1E,Nokia,"Nokia Lumia Icon, Black 32GB (Verizon Wireless)",233.71,https://m.media-amazon.com/images/I/51W3p2zTv9L._AC_UY218_ML3_.jpg
B00I2KY5TM,Nokia,Nokia Lumia 928 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - White,159.99,https://m.media-amazon.com/images/I/51YIDTWEWDL._AC_UY218_ML3_.jpg
B00IZ1X21K,Samsung,"Samsung Galaxy S5, G900P 16GB White - Sprint",269.99,https://m.media-amazon.com/images/I/81CKMjxseIL._AC_UY218_ML3_.jpg
B00JEHJMG8,Samsung,Samsung Galaxy S4 16GB SPH-L720 4G LTE Android - Sprint (Blue),0.0,https://m.media-amazon.com/images/I/61Uy8S7wD9L._AC_UY218_ML3_.jpg
B00JH2WF0K,Samsung,"Samsung Gusto 3, Dark Blue, Verizon Wireless",0.0,https://m.media-amazon.com/images/I/71PZg166cmL._AC_UY218_ML3_.jpg
B00JH2WPO6,Samsung,"Samsung ATIV SE, Silver 16GB (Verizon Wireless)",0.0,https://m.media-amazon.com/images/I/81U-7YS706L._AC_UY218_ML3_.jpg
B00JS73V2U,Motorola,"Motorola DROID MAXX, Black 16GB (Verizon Wireless)",0.0,https://m.media-amazon.com/images/I/717w0Z516KL._AC_UY218_ML3_.jpg
B00JYR6GGM,Samsung,"Samsung Gusto 3, Royal Navy Blue (Verizon Wireless Prepaid) - Discontinued by Manufacturer",0.0,https://m.media-amazon.com/images/I/51ZL33qmCpL._AC_UY218_ML3_.jpg
B00K0NS0P4,Motorola,"Motorola Moto G (1st Generation) Unlocked Cellphone, 8GB, White",209.75,https://m.media-amazon.com/images/I/71L5LzVmrcL._AC_UY218_ML3_.jpg
B00KM10ITK,Nokia,Nokia Lumia 635 8GB Unlocked GSM 4G LTE Windows 8.1 Quad-Core Phone - Black,103.98,https://m.media-amazon.com/images/I/61WZWpJTYmL._AC_UY218_ML3_.jpg
B00LAEA84S,Samsung,Samsung Galaxy S5 G900V Verizon 4G LTE Smartphone w/ 16MP Camera - Black - Verizon,0.0,https://m.media-amazon.com/images/I/91s1UjlYJHL._AC_UY218_ML3_.jpg
B00LIYEMTC,Sony,Sony Xperia Z2 - Unlocked (White),606.3,https://m.media-amazon.com/images/I/41ATwBsWGbL._AC_UY218_ML3_.jpg
B00MWI4HW0,Motorola,"Motorola Moto G (2nd generation) Unlocked Cellphone, 8GB, Black",99.0,https://m.media-amazon.com/images/I/61OLIW5q0eL._AC_UY218_ML3_.jpg
B00MWI4KKE,Motorola,"Motorola Moto X (2nd generation) XT1097 GSM Unlocked Cellphone, 16GB, Black Soft Touch",0.0,https://m.media-amazon.com/images/I/81HfPVitlfL._AC_UY218_ML3_.jpg
B00N532A34,Samsung,"Samsung Galaxy Alpha, Frosted Gold 32GB (AT&T)",0.0,https://m.media-amazon.com/images/I/81IpIT71b7L._AC_UY218_ML3_.jpg
B00N532DU4,Samsung,"Samsung Galaxy Mega 2, Brown Black 16GB (AT&T)",0.0,https://m.media-amazon.com/images/I/81+3p0WndhL._AC_UY218_ML3_.jpg
